USER       PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root         1  0.0  0.4  22828  3952 ?        Ss   Feb26   0:09 /sbin/init
root         2  0.0  0.0      0     0 ?        S    Feb26   0:00 [kthreadd]
root         3  0.0  0.0      0     0 ?        S    Feb26   0:04 [ksoftirqd/0]
root         5  0.0  0.0      0     0 ?        S<   Feb26   0:00 [kworker/0:0H]
root         7  0.0  0.0      0     0 ?        S    Feb26   0:26 [rcu_sched]
root         8  0.0  0.0      0     0 ?        S    Feb26   0:00 [rcu_bh]
root         9  0.0  0.0      0     0 ?        S    Feb26   0:00 [migration/0]
root        10  0.0  0.0      0     0 ?        S    Feb26   0:00 [migration/1]
root        11  0.0  0.0      0     0 ?        S    Feb26   0:00 [ksoftirqd/1]
root        13  0.0  0.0      0     0 ?        S<   Feb26   0:00 [kworker/1:0H]
root        14  0.0  0.0      0     0 ?        S    Feb26   0:00 [migration/2]
root        15  0.0  0.0      0     0 ?        S    Feb26   0:00 [ksoftirqd/2]
root        17  0.0  0.0      0     0 ?        S<   Feb26   0:00 [kworker/2:0H]
root        18  0.0  0.0      0     0 ?        S    Feb26   0:00 [migration/3]
root        19  0.0  0.0      0     0 ?        S    Feb26   0:00 [ksoftirqd/3]
root        21  0.0  0.0      0     0 ?        S<   Feb26   0:00 [kworker/3:0H]
root        22  0.0  0.0      0     0 ?        S    Feb26   0:00 [kdevtmpfs]
root        23  0.0  0.0      0     0 ?        S<   Feb26   0:00 [netns]
root        24  0.0  0.0      0     0 ?        S<   Feb26   0:00 [perf]
root        25  0.0  0.0      0     0 ?        S    Feb26   0:00 [khungtaskd]
root        26  0.0  0.0      0     0 ?        S<   Feb26   0:00 [writeback]
root        27  0.0  0.0      0     0 ?        S<   Feb26   0:00 [crypto]
root        28  0.0  0.0      0     0 ?        S<   Feb26   0:00 [bioset]
root        29  0.0  0.0      0     0 ?        S<   Feb26   0:00 [kblockd]
root        31  0.0  0.0      0     0 ?        S<   Feb26   0:00 [rpciod]
root        32  0.0  0.0      0     0 ?        S    Feb26   0:00 [kswapd0]
root        33  0.0  0.0      0     0 ?        S<   Feb26   0:00 [vmstat]
root        34  0.0  0.0      0     0 ?        S    Feb26   0:00 [fsnotify_mark]
root        35  0.0  0.0      0     0 ?        S<   Feb26   0:00 [nfsiod]
root        44  0.0  0.0      0     0 ?        S<   Feb26   0:00 [kthrotld]
root        45  0.0  0.0      0     0 ?        S<   Feb26   0:00 [bioset]
root        46  0.0  0.0      0     0 ?        S<   Feb26   0:00 [bioset]
root        47  0.0  0.0      0     0 ?        S<   Feb26   0:00 [bioset]
root        48  0.0  0.0      0     0 ?        S<   Feb26   0:00 [bioset]
root        49  0.0  0.0      0     0 ?        S<   Feb26   0:00 [bioset]
root        50  0.0  0.0      0     0 ?        S<   Feb26   0:00 [bioset]
root        51  0.0  0.0      0     0 ?        S<   Feb26   0:00 [bioset]
root        52  0.0  0.0      0     0 ?        S<   Feb26   0:00 [bioset]
root        53  0.0  0.0      0     0 ?        S<   Feb26   0:00 [bioset]
root        54  0.0  0.0      0     0 ?        S<   Feb26   0:00 [bioset]
root        55  0.0  0.0      0     0 ?        S<   Feb26   0:00 [bioset]
root        56  0.0  0.0      0     0 ?        S<   Feb26   0:00 [bioset]
root        57  0.0  0.0      0     0 ?        S<   Feb26   0:00 [bioset]
root        58  0.0  0.0      0     0 ?        S<   Feb26   0:00 [bioset]
root        59  0.0  0.0      0     0 ?        S<   Feb26   0:00 [bioset]
root        60  0.0  0.0      0     0 ?        S<   Feb26   0:00 [bioset]
root        61  0.0  0.0      0     0 ?        S<   Feb26   0:00 [bioset]
root        62  0.0  0.0      0     0 ?        S<   Feb26   0:00 [bioset]
root        63  0.0  0.0      0     0 ?        S<   Feb26   0:00 [bioset]
root        64  0.0  0.0      0     0 ?        S<   Feb26   0:00 [bioset]
root        65  0.0  0.0      0     0 ?        S<   Feb26   0:00 [bioset]
root        66  0.0  0.0      0     0 ?        S<   Feb26   0:00 [bioset]
root        67  0.0  0.0      0     0 ?        S<   Feb26   0:00 [bioset]
root        68  0.0  0.0      0     0 ?        S<   Feb26   0:00 [bioset]
root        69  0.0  0.0      0     0 ?        S<   Feb26   0:00 [VCHIQ-0]
root        70  0.0  0.0      0     0 ?        S<   Feb26   0:00 [VCHIQr-0]
root        71  0.0  0.0      0     0 ?        S<   Feb26   0:00 [VCHIQs-0]
root        72  0.0  0.0      0     0 ?        S<   Feb26   0:00 [iscsi_eh]
root        73  0.0  0.0      0     0 ?        S<   Feb26   0:00 [dwc_otg]
root        75  0.0  0.0      0     0 ?        S<   Feb26   0:00 [DWC Notificatio]
root        77  0.0  0.0      0     0 ?        S    Feb26   1:50 [irq/92-mmc1]
root        79  0.0  0.0      0     0 ?        S<   Feb26   0:00 [bioset]
root        80  0.0  0.0      0     0 ?        S    Feb26   0:02 [mmcqd/0]
root        82  0.0  0.0      0     0 ?        S    Feb26   0:00 [VCHIQka-0]
root        83  0.0  0.0      0     0 ?        S<   Feb26   0:00 [SMIO]
root        84  0.0  0.0      0     0 ?        S<   Feb26   0:00 [deferwq]
root        86  0.0  0.0      0     0 ?        S    Feb26   0:00 [jbd2/mmcblk0p2-]
root        87  0.0  0.0      0     0 ?        S<   Feb26   0:00 [ext4-rsv-conver]
root        89  0.0  0.0      0     0 ?        S<   Feb26   0:00 [ipv6_addrconf]
root       102  0.0  0.0      0     0 ?        S<   Feb26   0:00 [kworker/2:1H]
root       136  0.0  0.4   9944  4216 ?        Ss   Feb26   0:04 /lib/systemd/systemd-journald
root       138  0.0  0.3  11932  3116 ?        Ss   Feb26   0:00 /lib/systemd/systemd-udevd
root       189  0.0  0.0      0     0 ?        S    Feb26   0:00 [spi0]
root       221  0.0  0.0      0     0 ?        S<   Feb26   0:00 [cfg80211]
root       230  0.0  0.0      0     0 ?        S<   Feb26   0:00 [brcmf_wq/mmc1:0]
root       231  0.0  0.0      0     0 ?        S    Feb26   0:50 [brcmf_wdog/mmc1]
root       417  0.0  0.3   7156  3236 ?        Ss   Feb26   0:02 /sbin/wpa_supplicant -s -B -P /run/wpa_supplicant.wlan0.pid -i wlan0 -D nl80211,wext -c /etc/wpa_supplicant/wpa_supplicant.conf
root       446  0.0  0.2  32144  2812 ?        Ssl  Feb26   0:00 /usr/sbin/rsyslogd -n
root       447  0.0  0.2   5072  2392 ?        Ss   Feb26   0:00 /usr/sbin/cron -f
avahi      450  0.0  0.2   3996  2592 ?        Ss   Feb26   0:27 avahi-daemon: running [dez.local]
